Sample_names,Samples_renames,EcoClusterID,fieldID,tagID,healthChart,Population,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,dateCollected
BLCH49A,BLCH49A,Offshore Central GBR,14,Spis_0,C4,OffshoreCentral,14:00:00,13,-18.80592,147.6688,OCDA_FL1D,Davies,Flank1,Deep,1,Zoe Meziere,29,3,2022,29/3/2022
BLCH4A,BLCH4A,Offshore Central GBR,10,Spis_21,C2,OffshoreCentral,10:30:00,13,-18.82579,147.62735,OCDA_BA1D,Davies,Back 1,Deep,2,Zoe Meziere,28,3,2022,28/3/2022
BLCH55A,BLCH55A,Offshore Central GBR,16,Spis_20,C2,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,29,3,2022,29/3/2022
BLCH56A,BLCH56A,Offshore Central GBR,5,Spis_19,C3,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,29,3,2022,29/3/2022
BLCH63A,BLCH63A,Offshore Central GBR,10,Spis_51,C2,OffshoreCentral,9:30:00,5,-18.83187,147.6525,OCDA_FR2S,Davies,Front 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH78A,BLCH78A,Offshore Central GBR,5,Spis_14,C3.5,OffshoreCentral,9:30:00,5,-18.83187,147.6525,OCDA_FR2S,Davies,Front 2,Shallow,3,Zoe Meziere,30,3,2022,30/3/2022
BLCH85A,BLCH85A,Offshore Central GBR,22,Spis_12,C2,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH86A,BLCH86A,Offshore Central GBR,14,Spis_10,C2,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH87A,BLCH87A,Offshore Central GBR,32,Spis_11,D3,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH91A,BLCH91A,Offshore Central GBR,33,Spis_24,C2,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH93A,BLCH93A,Offshore Central GBR,21,Spis_27,C2,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH99A,BLCH99A,Offshore Central GBR,20,Spis_27,C2,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH9A,BLCH9A,Offshore Central GBR,3,Spis_34,C2,OffshoreCentral,14:30:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back 1,Shallow,4,Zoe Meziere,28,3,2022,28/3/2022
