Site_code,lat,long,Reef,Site,Zone
OCCH_BA2S,-18.6521,147.71846,OCCH,BA2,S
OCCH_LA1F,-18.66035,147.70267,OCCH,LA1,F
OCCH_LA1S,-18.66035,147.70267,OCCH,LA1,S
OCDA_BA1D,-18.82591,147.62738,OCDA,BA1,D
OCDA_BA1F,-18.82586,147.62712,OCDA,BA1,F
OCDA_BA1S,-18.8259,147.62727,OCDA,BA1,S
OCDA_BA2D,-18.81433,147.63724,OCDA,BA2,D
OCDA_BA2S,-18.81448,147.63721,OCDA,BA2,S
OCDA_FL1D,-18.80592,147.66884,OCDA,FL1,D
OCDA_FL1F,-18.80615,147.66856,OCDA,FL1,F
OCDA_FL1S,-18.80575,147.66862,OCDA,FL1,S
OCDA_FR1B,-18.81966,147.66394,OCDA,FR1,B
OCDA_FR1D,-18.81966,147.66394,OCDA,FR1,D
OCDA_FR1F,-18.81618,147.66376,OCDA,FR1,F
OCDA_FR1S,-18.8192,147.66391,OCDA,FR1,S
OCDA_FR2D,-18.83181,147.65268,OCDA,FR2,D
OCDA_FR2F,-18.83171,147.65221,OCDA,FR2,F
OCDA_FR2S,-18.83187,147.65248,OCDA,FR2,S
OCDA_LA1F,-18.83293,147.63365,OCDA,LA1,F
OCDA_LA1S,-18.83292,147.63336,OCDA,LA1,S
OCDA_LA2S,-18.83125,147.63316,OCDA,LA2,S
OCDA_SP,-18.824367,147.658767,OCDA,SP,
OCLB_BA1F,-18.94938,147.69295,OCLB,BA1,F
OCLB_BA1S,-18.94923,147.69295,OCLB,BA1,S
OCLB_FL1F,-18.94399,147.69923,OCLB,FL1,F
OCLB_FL1S,-18.94397,147.69923,OCLB,FL1,S
OCLB_LA1S,-18.94938,147.70198,OCLB,LA1,S
ONLI_BA1F,-14.6507,145.4502306,ONLI,BA1,F
ONLI_BA1S,-14.6507,145.45024,ONLI,BA1,S
ONLI_BA2F,-14.66777,145.44244,ONLI,BA2,F
ONLI_BA2S,-14.66776,145.44197,ONLI,BA2,S
ONLI_FL1F,-14.6981,145.44545,ONLI,FL1,F
ONLI_FL1S,-14.69811,145.44543,ONLI,FL1,S
ONLI_FR1D,-14.69113,145.46951,ONLI,FR1,D
ONLI_FR1F,-14.69129,145.46928,ONLI,FR1,F
ONLI_FR1S,-14.69137,145.46938,ONLI,FR1,S
ONLI_FR2F,-14.64963,145.4928,ONLI,FR2,F
ONLI_FR2S,-14.6494,145.49286,ONLI,FR2,S
ONLI_LA1F,-14.68762,145.46533,ONLI,LA1,F
ONLI_LA1S,-14.68768,145.46523,ONLI,LA1,S
ONLI_SP,-14.69979,145.46973,ONLI,SP,
ONMO_BA1D,-16.84719,146.21736,ONMO,BA1,D
ONMO_BA1F,-16.84731,146.21759,ONMO,BA1,F
ONMO_BA1S,-16.84712,146.21744,ONMO,BA1,S
ONMO_BA2D,-16.88184,146.18402,ONMO,BA2,D
ONMO_BA2F,-16.8819,146.18402,ONMO,BA2,F
ONMO_BA2S,-16.8819,146.18402,ONMO,BA2,S
ONMO_FL1D,-16.84844,146.2373,ONMO,FL1,D
ONMO_FL1F,-16.84859,146.23718,ONMO,FL1,F
ONMO_FL1S,-16.8485,146.23726,ONMO,FL1,S
ONMO_FR1D,-16.87191,146.25369,ONMO,FR1,D
ONMO_FR1F,-16.87196,146.25343,ONMO,FR1,F
ONMO_FR1S,-16.87201,146.25362,ONMO,FR1,S
ONMO_FR2D,-16.88305,146.24464,ONMO,FR2,D
ONMO_FR2F,-16.88264,146.24457,ONMO,FR2,F
ONMO_FR2S,-16.88276,146.24463,ONMO,FR2,S
ONMO_LA1D,-16.85995,146.22552,ONMO,LA1,D
ONMO_LA1F,-16.85991,146.22543,ONMO,LA1,F
ONMO_LA1S,-16.85995,146.22552,ONMO,LA1,S
ONMO_SP,-16.88887,146.24886,ONMO,SP,
PAOR_FL1D,-18.57153,146.49562,PAOR,FL1,D
PAOR_FL1F,-18.57263,146.495,PAOR,FL1,F
PAOR_FL1S,-18.57224,146.49544,PAOR,FL1,S
PAPE_BA1D,-18.55054,146.48822,PAPE,BA1,D
PAPE_BA1F,-18.55076,146.48859,PAPE,BA1,F
PAPE_BA1S,-18.5508,146.48842,PAPE,BA1,S
PAPE_BA2D,-18.54098,146.48843,PAPE,BA2,D
PAPE_BA2F,-18.54104,146.48909,PAPE,BA2,F
PAPE_BA2S,-18.54103,146.48862,PAPE,BA2,S
PAPE_FR1D,-18.5391,146.49924,PAPE,FR1,D
PAPE_FR1F,-18.54003,146.49893,PAPE,FR1,F
PAPE_FR1S,-18.53953,146.49895,PAPE,FR1,S
TSAU_BA1F,-9.86777,143.38939,TSAU,BA1,F
TSAU_BA1S,-9.86766,143.3893,TSAU,BA1,S
