gene,SNPs,hits,Z,top_candidate_p,Z_pVal
wind_211,20,0,0.839378199986367,1,0.344314205015834
wind_213,180,1,-1.46562061346818,0.836192030291913,0.937329618885846
wind_214,121,0,0.0340245248570461,1,0.690173722145364
wind_217,12,0,0.757588596244928,1,0.35218239285744
wind_218,2,0,-0.0135222048475905,1,0.595128267275154
wind_220,19,1,0.346787552395058,0.173831376164413,0.501955788097231
wind_221,2,0,1.87086805073805,1,0.0757590454694442
wind_222,4,0,1.2621459725775,1,0.190532280573514
wind_223,56,0,0.593762320607078,1,0.482351577042664
wind_225,21,0,1.41411827818591,1,0.191652204992971
wind_227,10,0,-0.846224534181416,1,0.839140959440682
wind_228,2,0,0.48052958508285,1,0.421372839722792
wind_229,215,3,1.45924324331354,0.364052213920674,0.363552426806228
wind_230,154,3,2.38576287731527,0.200667054533384,0.157162767011308
wind_231,223,4,2.65005313788489,0.185805586638656,0.129503339463102
wind_232,44,0,0.479728504900433,1,0.499952222078264
wind_233,73,0,2.74003077960911,1,0.0611835481583852
wind_234,114,2,3.46669352189256,0.315841711176994,0.0326740838741211
wind_235,94,0,2.1596894130768,1,0.151940124410523
wind_236,119,0,1.97850759828353,1,0.206602523559347
wind_237,216,6,3.20034095086922,0.0224124199861349,0.0686615203110279
wind_238,294,2,1.0153260138339,0.793221887142418,0.461987503255992
wind_239,47,0,1.3115679440312,1,0.26479795837851
wind_240,194,3,1.5743791748625,0.307004206013312,0.333000980869421
wind_241,9,0,1.51895431739528,1,0.145248464910053
wind_242,204,4,2.45103125088197,0.149274217142166,0.159374415664049
wind_243,92,1,4.5115322903955,0.603322193577975,0.00365384794824675
wind_250,81,1,1.39545078557843,0.556952018373828,0.294611250936771
wind_251,123,0,0.601393914329165,1,0.54693055217056
wind_252,104,3,2.54814885525424,0.0868779579102799,0.104392968880006
wind_253,29,0,1.36052297846392,1,0.219886092078915
wind_254,7,0,2.84177691046032,1,0.0129347509463394
wind_246,2,0,1.65583664011223,1,0.106923150027245
wind_258,1,1,1,1,1
wind_248,3,0,-0.503514058552891,1,0.75136023661307
wind_261,21,1,1.35144112867087,0.190272131778742,0.206159750116736
wind_263,259,1,0.419541892983554,0.925951647430416,0.632179860593345
wind_265,8,0,-0.712159428592979,1,0.808408001632544
wind_266,6,0,-0.203302869597874,1,0.663977604961382
wind_269,91,1,0.690942809624406,0.59931534704846,0.49567057506068
wind_270,25,0,-0.984095700506519,1,0.868842929540802
wind_273,16,0,-0.780565734336688,1,0.82705803055192
wind_274,20,0,0.452494284680702,1,0.468660962593235
wind_275,44,1,0.210465649076164,0.357388397915282,0.582576875409663
wind_276,46,0,-0.511812545156076,1,0.779741370595159
wind_280,13,0,-1.04686432346302,1,0.878119753741074
wind_281,24,0,-2.2453687428119,1,0.984479052617166
wind_283,4,0,-0.948330874171152,1,0.858483556505508
wind_284,44,2,2.56803995460426,0.0717832414331846,0.0528283069222811
wind_285,113,1,1.76791586965066,0.678798925435209,0.244166967576516
wind_286,109,0,-1.85253629498574,1,0.961420654987069
wind_287,232,1,1.76187046772566,0.902867370309951,0.291498793589566
