gene,SNPs,hits,Z,top_candidate_p,Z_pVal
wind_9695,248,2,4.22669723616137,0.710117138033978,0.0248218455886481
wind_9696,117,3,1.97478488345254,0.113182559149258,0.209843768710611
wind_9697,15,0,2.00203196589724,1,0.0800827112383109
wind_9699,162,0,0.151107541112014,1,0.687850713649943
wind_9700,153,1,-0.0083404354633272,0.785125552293921,0.719029085871191
wind_9701,269,1,1.37611803478792,0.933031997252136,0.432250729895479
wind_9702,477,5,0.307914170972772,0.518974836205298,0.697016466996581
wind_9703,562,15,1.2668079056568,0.000688240132551331,0.151818316134512
wind_9704,225,7,1.18697630006713,0.00801795945787735,0.466390831860226
wind_9705,339,11,1.51428709366789,0.000731203420763225,0.395752637055863
wind_9706,36,0,0.735884581990244,1,0.403699620875431
wind_9707,16,0,2.69410816296171,1,0.0244016579531428
wind_9708,33,0,0.405375092581175,1,0.501458493919159
wind_9709,56,1,1.2824114523561,0.430398797522841,0.284931913238383
wind_9710,53,0,-0.306024379816917,1,0.729989976241367
wind_9711,33,0,1.73872712742494,1,0.14666253025348
wind_9714,11,0,1.33154137066433,1,0.190740407717891
wind_9716,13,0,-0.140237571081294,1,0.645314825211618
wind_9726,4,0,0.394702948201543,1,0.451951010458506
wind_9727,40,0,1.37145963057269,1,0.235965543622995
wind_9729,25,0,-0.194105172941859,1,0.675456443256886
wind_9734,2,0,-1.78971321134467,1,0.961272750499425
wind_9735,4,1,0.895572798154936,0.03940399,0.290206484545497
wind_9739,3,0,-0.658101033926098,1,0.783826975072008
wind_9743,95,4,5.08132993467892,0.0155075661983347,0.00116036310284218
wind_9744,5,0,-2.35439986691891,1,0.987711245615782
wind_9751,11,2,2.0088482576958,0.00517971749031507,0.0740506099271311
wind_9761,7,0,1.62012472155463,1,0.124691424232781
wind_9762,1,1,1,1,1
wind_9778,1,0,0.933902288954903,1,0.272069172167073
wind_9796,8,0,0.0448739216838327,1,0.578347708239549
wind_9797,4,0,0.555261747416563,1,0.397728548193056
wind_9798,3,0,-0.456107187346673,1,0.729188176021439
wind_9801,14,0,0.155347200061893,1,0.551395491761594
wind_9802,74,0,-1.1751945388768,1,0.899837064463899
wind_9803,188,0,-3.20044050769557,1,0.995813537480616
wind_9804,201,0,-2.65010024198057,1,0.98913038086529
wind_9810,13,0,-0.302330757097179,1,0.694456367695317
wind_9811,12,0,0.0684259630225917,1,0.576868052476654
wind_9819,19,1,2.04072630543044,0.173831376164413,0.0804923032346243
wind_9821,22,1,1.02872117543722,0.198369410460954,0.290770204840247
wind_9825,7,0,1.46542597437774,1,0.15393019322968
wind_9826,1,0,-1.30490480264945,1,0.910571559727114
wind_9827,5,0,0.841859860385931,1,0.308556623436984
wind_9831,16,0,0.0369602601607541,1,0.593158945821938
wind_9832,9,0,1.45465840492677,1,0.15996709010483
wind_9835,8,3,2.43094950566523,5.39333211979002e-05,0.0333521712896819
wind_9838,15,0,-0.323393813690254,1,0.702630311637327
wind_9840,12,0,0.0866003440576697,1,0.5708785479024
wind_9841,1,0,0.790545914699733,1,0.315027592811682
wind_9848,12,0,-0.727726552174733,1,0.805954589530041
wind_9849,49,0,1.46492736052571,1,0.229254294003984
wind_9851,44,0,-0.833520216154618,1,0.840937818275124
wind_9853,106,0,-0.526978124771189,1,0.804934925001384
wind_9856,13,0,0.380830479399577,1,0.474521526820903
wind_9859,10,0,0.388005671279768,1,0.466331774721222
wind_9864,5,0,0.723561475096704,1,0.345226292773553
